,v0,w0,v1,w1,payload,unit weight,m,Pmax,Pstable,M,r,P_ul,wheel_v1,wheel_v2,wheel_v3,wheel_v4,P_ut,P_useful,w2,v2,w3,v3,w4,v4
32,0.0,0.0,0.5,0.3,0,5.8,50,274.4,138.47,50.0,1.6666666666666667,0.0,0.4239865121675453,0.4239865121675453,0.5884424886936701,0.5884424886936701,248.04510521099778,248.04510521099778,0.09,0.25,0.027,0.125,0.0081,0.0625
33,0.0,0.0,0.1,0.3,0,5.8,50,130.91,111.74,50.0,0.33333333333333337,0.0,0.0797782081774215,0.0797782081774215,0.19915964074078862,0.19915964074078862,68.33977298496148,68.33977298496148,0.09,0.010000000000000002,0.027,0.0010000000000000002,0.0081,0.00010000000000000003
34,0.0,0.0,0.3,0.3,0,5.8,50,189.4,112.92,50.0,1.0,0.0,0.23035746677718086,0.23035746677718086,0.39110684281919694,0.39110684281919694,152.2587558511126,152.2587558511126,0.09,0.09,0.027,0.027,0.0081,0.0081
35,0.1,0.3,0.3,0.3,0,5.8,50,172.94,132.79,50.0,1.0,0.0,0.23035746677718086,0.23035746677718086,0.39110684281919694,0.39110684281919694,152.2587558511126,152.2587558511126,0.09,0.09,0.027,0.027,0.0081,0.0081
36,0.3,0.5,0.1,0.3,0,5.8,50,101.16,135.05,50.0,0.33333333333333337,0.0,0.0797782081774215,0.0797782081774215,0.19915964074078862,0.19915964074078862,68.33977298496148,68.33977298496148,0.09,0.010000000000000002,0.027,0.0010000000000000002,0.0081,0.00010000000000000003
37,0.5,0.1,0.5,0.3,0,5.8,50,183.44,157.28,50.0,1.6666666666666667,0.0,0.4239865121675453,0.4239865121675453,0.5884424886936701,0.5884424886936701,248.04510521099778,248.04510521099778,0.09,0.25,0.027,0.125,0.0081,0.0625
38,0.0,0.0,0.1,0.3,1,5.8,50,135.59,134.08,55.8,0.33333333333333337,0.0,0.0797782081774215,0.0797782081774215,0.19915964074078862,0.19915964074078862,76.26718665121702,76.26718665121702,0.09,0.010000000000000002,0.027,0.0010000000000000002,0.0081,0.00010000000000000003
39,0.0,0.0,0.3,0.3,1,5.8,50,205.88,123.51,55.8,1.0,0.0,0.23035746677718086,0.23035746677718086,0.39110684281919694,0.39110684281919694,169.92077152984166,169.92077152984166,0.09,0.09,0.027,0.027,0.0081,0.0081
40,0.0,0.0,0.5,0.3,1,5.8,50,244.18,149.67,55.8,1.6666666666666667,0.0,0.4239865121675453,0.4239865121675453,0.5884424886936701,0.5884424886936701,276.81833741547354,276.81833741547354,0.09,0.25,0.027,0.125,0.0081,0.0625
41,0.5,0.0,0.4,0.3,1,5.8,50,,110.7747817,55.8,1.3333333333333335,0.0,0.3262124499463502,0.3262124499463502,0.48950440498528713,0.48950440498528713,223.0333024754083,223.0333024754083,0.09,0.16000000000000003,0.027,0.06400000000000002,0.0081,0.025600000000000008
42,0.4,0.0,0.0,0.3,1,5.8,50,,47.95353009,55.8,0.0,0.0,0.1140813854228638,0.1140813854228638,0.1140813854228638,0.1140813854228638,62.384264804638846,62.384264804638846,0.09,0.0,0.027,0.0,0.0081,0.0
43,0.2,0.2,0.3,0.3,1,5.8,50,,156.5449477,55.8,1.0,0.0,0.23035746677718086,0.23035746677718086,0.39110684281919694,0.39110684281919694,169.92077152984166,169.92077152984166,0.09,0.09,0.027,0.027,0.0081,0.0081
